1.666667E-01 2.644474E+01 789 447 447 1844
5.000000E-01 1.667420E+01 3385 3124 3124 12227
8.333333E-01 1.052199E+01 5613 7735 7735 31228
1.166667E+00 6.070495E+00 6463 14654 14654 58456
1.500000E+00 3.325307E+00 6301 23327 23327 93170
1.833333E+00 2.016833E+00 6384 33917 33917 134969
2.166667E+00 1.369067E+00 6880 46534 46534 184381
2.500000E+00 1.088153E+00 7848 60144 60144 239598
2.833333E+00 8.485016E-01 8773 75923 75923 303044
3.166667E+00 6.612925E-01 9813 94217 94217 371124
3.500000E+00 5.473329E-01 10889 112470 112470 448149
3.833333E+00 4.686457E-01 12163 132523 132523 530249
4.166667E+00 4.383847E-01 13919 154814 154814 619096
4.500000E+00 3.709194E-01 15400 179308 179308 713520
4.833333E+00 3.402912E-01 17127 204099 204099 813482
5.166667E+00 3.119709E-01 18918 230455 230455 919852
5.500000E+00 2.714967E-01 20743 260038 260038 1033281
5.833333E+00 2.671309E-01 22860 288405 288405 1151906
6.166667E+00 2.275705E-01 24593 319796 319796 1274436
6.500000E+00 2.139152E-01 26977 353742 353742 1403670
6.833333E+00 2.018574E-01 29052 385904 385904 1538446
7.166667E+00 1.837193E-01 31306 421733 421733 1678681
7.500000E+00 1.710532E-01 33584 457866 457866 1825867
7.833333E+00 1.622757E-01 35985 494580 494580 1973912
8.166667E+00 1.379910E-01 38039 534268 534268 2134133
8.500000E+00 1.375453E-01 40976 575109 575109 2293919
8.833333E+00 1.218860E-01 43282 616391 616391 2461039
9.166667E+00 1.125128E-01 45977 660024 660024 2634017
9.500000E+00 1.171761E-01 49194 703713 703713 2810617
9.833333E+00 1.034157E-01 52118 752053 752053 2990085
